TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST.,AST.TO,ASTRatio,OREB.,DREB.,REB.,TOV.,eFG.,TS.,PACE,PIE,POSS
LAL,1,0,1,48,111.5,125.3,-13.8,56.1,1.92,16.8,34.6,71.1,51.5,12.5,51.1,54.1,95.5,42.1,96
DEN,1,1,0,48,125.3,111.5,13.8,60.4,2.42,21.2,28.9,65.4,48.5,12.6,60.4,61.8,95.5,57.9,95
